Player,Span,Years,Inns,R/I,HS,Avg,SR,100/I,50,50/I,4,6,6+4/BF
V Kohli (INDIA),2009-2011,3,12,48.333333333333336,117,58.00,84.79,0.08333333333333333,5,0.4166666666666667,56,3,0.08625730994152046
Yuvraj Singh (INDIA),2002-2005,4,10,32.1,110,32.10,84.69,0.1,2,0.2,32,3,0.09234828496042216
E Chigumbura (ZIM),2006-2010,5,15,20.733333333333334,60,22.21,73.34,0.0,2,0.13333333333333333,23,9,0.07547169811320754
Tamim Iqbal (BDESH),2009-2012,4,12,17.583333333333332,58,19.18,75.35,0.0,1,0.08333333333333333,27,3,0.10714285714285714
V Sibanda (ZIM),2003-2007,5,10,20.1,58,22.33,51.53,0.0,2,0.2,24,0,0.06153846153846154
RG Sharma (INDIA),2009-2011,3,13,44.38461538461539,95,64.11,87.29,0.0,6,0.46153846153846156,35,9,0.06656580937972768
GC Smith (SA),2002-2005,4,10,38.5,103,38.50,78.41,0.1,2,0.2,45,0,0.09164969450101833
Shoaib Malik (PAK),2004-2006,3,10,21.7,60,31.00,63.08,0.0,2,0.2,16,0,0.046511627906976744
M Kaif (INDIA),2002-2005,4,10,21.6,83,30.85,79.70,0.0,1,0.1,20,0,0.07380073800738007
BRM Taylor (ZIM),2007-2010,4,10,20.9,50,23.22,58.87,0.0,1,0.1,19,2,0.059154929577464786
P Utseya (ZIM),2006-2010,5,13,7.846153846153846,27,14.57,51.77,0.0,0,0.0,4,1,0.025380710659898477
MJ Clarke (AUS),2003-2007,5,12,37.666666666666664,81,45.20,83.24,0.0,4,0.3333333333333333,41,1,0.07734806629834254
Mushfiqur Rahim (BDESH),2009-2012,4,12,31.416666666666668,79,37.70,69.30,0.0,2,0.16666666666666666,33,3,0.0661764705882353
Kamran Akmal (PAK),2005-2007,3,11,29.636363636363637,124,36.22,89.56,0.09090909090909091,1,0.09090909090909091,33,5,0.1043956043956044
MS Dhoni (INDIA),2005-2007,3,13,24.384615384615383,62,39.62,100.95,0.0,2,0.15384615384615385,22,13,0.11146496815286625
Naeem Islam (BDESH),2009-2012,4,10,17.9,52,25.57,69.37,0.0,2,0.2,18,1,0.07364341085271318
SK Raina (INDIA),2009-2011,3,11,14.909090909090908,55,18.22,92.65,0.0,1,0.09090909090909091,13,1,0.07909604519774012
AB de Villiers (SA),2007-2010,4,10,57.1,146,63.44,94.38,0.2,3,0.3,41,10,0.08429752066115702
V Sehwag (INDIA),2002-2005,4,12,24.166666666666668,114,26.36,101.75,0.08333333333333333,1,0.08333333333333333,45,3,0.16842105263157894
H Masakadza (ZIM),2006-2010,5,10,21.3,80,21.30,70.06,0.0,1,0.1,20,2,0.07236842105263158
S Matsikenyeri (ZIM),2006-2010,5,10,15.4,55,17.11,79.79,0.0,1,0.1,13,2,0.07772020725388601
