Player,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,0,4s,6s
WIA Fernando (Sri19),2014-2017,39,38,4,1379,138,40.55,1568,87.94,4,4,0,146,24,
Nazmul Hossain Shanto (BD19),2014-2016,38,37,8,1305,113,45.00,1794,72.74,1,10,0,112,11,
Saif Hassan (BD19),2015-2017,42,42,2,1128,107,28.20,2002,56.34,2,4,4,118,14,
Pinak Ghosh (BD19),2015-2017,32,32,1,1002,150,32.32,1373,72.97,2,5,3,100,15,
Mehidy Hasan Miraz (BD19),2014-2016,34,31,5,947,87,36.42,1090,86.88,0,12,5,96,8,
KIC Asalanka (Sri19),2014-2016,25,24,1,883,83,38.39,1190,74.20,0,9,1,89,8,
MP Breetzke (SA19),2015-2017,19,19,0,850,106,44.73,1157,73.46,3,5,2,81,13,
Shubman Gill (Ind19),2016-2017,10,10,2,777,160,97.12,782,99.36,3,3,0,97,7,
SN Khan (Ind19),2014-2016,20,20,5,752,84,50.13,774,97.15,0,9,2,71,16,
R van Tonder (SA19),2016-2017,20,20,3,749,131,44.05,1049,71.40,1,5,1,61,13,
Joyraz Sheik (BD19),2014-2016,27,27,2,748,90,29.92,1152,64.93,0,5,2,89,5,
PWA Mulder (SA19),2015-2017,27,26,3,746,80,32.43,1172,63.65,0,5,1,68,10,
S Ashan (Sri19),2014-2017,31,29,7,724,103,32.90,933,77.59,1,5,4,56,9,
DW Lawrence (ENG19),2015-2016,14,14,0,712,174,50.85,712,100.00,3,4,1,100,8,
JR Doran (Aus19),2014-2015,16,16,5,688,102,62.54,950,72.42,1,4,1,61,5,
PHKD Mendis (Sri19),2014-2017,36,35,4,665,68,21.45,973,68.34,0,4,4,59,0,
V Chathuranga (Sri19),2016-2017,19,19,0,622,103,32.73,666,93.39,1,2,0,84,5,
Zakir Hasan (BD19),2014-2016,31,27,4,586,81,25.47,800,73.25,0,4,3,44,7,
JTA Burnham (ENG19),2015-2016,13,13,1,582,148,48.50,688,84.59,3,1,0,60,15,
LP Smith (SA19),2015-2016,13,13,2,529,100,48.09,821,64.43,1,4,1,54,6,
WMK Bandara (Sri19),2014-2016,15,15,0,483,91,32.20,658,73.40,0,4,0,51,1,
AD Galiem (SA19),2015-2016,18,16,1,474,65,31.60,638,74.29,0,4,1,35,4,
W Makwetu (SA19),2016-2017,22,21,2,471,129,24.78,592,79.56,1,2,2,49,8,
H Hameed (ENG19),2014-2015,13,13,0,463,125,35.61,687,67.39,1,2,1,48,4,
R Murray (Zim19),2015-2017,19,19,2,458,77,26.94,609,75.20,0,3,0,63,5,
RR Pant (Ind19),2015-2016,11,11,0,454,111,41.27,411,110.46,1,4,0,60,15,
HJ Rana (Ind19),2015-2017,14,14,0,452,101,32.28,524,86.25,1,4,1,57,2,
Saif Badar (Pak19),2016-2016,10,10,2,434,99,54.25,520,83.46,0,4,0,31,13,
Washington Sundar (Ind19),2015-2016,13,12,0,420,77,35.00,603,69.65,0,5,0,37,1,
Hasan Mohsin (Pak19),2015-2016,11,11,3,418,117,52.25,474,88.18,1,1,0,36,10,
CJ Taylor (ENG19),2015-2016,17,16,1,387,61,25.80,547,70.74,0,3,0,34,7,
GA Bartlett (ENG19),2015-2017,15,15,2,372,85,28.61,457,81.40,0,3,1,33,6,
KSW Arachchige (Sri19),2016-2017,13,13,0,367,81,28.23,574,63.93,0,3,0,35,2,
R Moonsamy (SA19),2015-2016,17,16,0,365,63,22.81,535,68.22,0,3,2,36,4,
WMH Rhodes (ENG19),2014-2014,11,11,1,361,76,36.10,521,69.28,0,3,0,34,2,
PP Shaw (Ind19),2016-2017,10,10,0,361,105,36.10,362,99.72,1,1,0,49,3,
HC Brook (ENG19),2017-2017,12,12,1,352,91,32.00,412,85.43,0,3,2,41,5,
SB Harper (Aus19),2014-2016,14,14,1,334,103,25.69,402,83.08,1,1,0,29,8,
Mohammad Saifuddin (BD19),2015-2016,29,23,5,333,41,18.50,400,83.25,0,0,3,23,5,
J Christensen (SA19),2016-2017,17,17,0,329,101,19.35,489,67.28,1,0,4,26,10,
Tariq Stanikzai (AFG19),2016-2017,13,12,2,327,106,32.70,505,64.75,1,3,1,35,6,
K Verreynne (SA19),2015-2016,14,14,2,326,77,27.16,524,62.21,0,2,2,27,2,
Zeeshan Malik (Pak19),2015-2016,12,12,1,323,93,29.36,431,74.94,0,2,1,48,2,
FH Allen (NZ19),2016-2016,10,10,2,318,97,39.75,349,91.11,0,1,0,37,12,
PVR de Silva (Sri19),2015-2016,12,11,1,318,58,31.80,439,72.43,0,3,1,27,1,
J Ives (Zim19),2015-2016,10,10,2,316,91,39.50,482,65.56,0,1,0,39,1,
KNA Bandara (Sri19),2016-2017,19,16,1,306,49,20.40,565,54.15,0,0,1,23,0,
MW Short (Aus19),2014-2015,11,10,0,298,96,29.80,383,77.80,0,2,0,34,2,
Ihsanullah (AFG19),2014-2016,12,12,1,294,63,26.72,400,73.50,0,1,0,38,5,
D Foxcroft (SA19),2015-2016,12,12,0,292,117,24.33,457,63.89,1,0,2,34,1,
S Samarawickrama (Sri19),2014-2014,10,10,0,292,82,29.20,365,80.00,0,4,2,34,0,
Umair Masood (Pak19),2015-2016,13,12,1,291,113,26.45,358,81.28,1,0,0,36,3,
H Dumindu (Sri19),2014-2014,10,10,1,290,113,32.22,418,69.37,1,1,1,27,2,
SO Hetmyer (WI19),2014-2016,14,14,0,274,60,19.57,328,83.53,0,2,2,34,3,
M Van Buuren (SA19),2016-2017,11,11,3,270,92,33.75,342,78.94,0,1,2,17,5,
PWH de Silva (Sri19),2015-2016,18,15,0,260,37,17.33,307,84.69,0,0,0,21,3,
H Boyagoda (Sri19),2016-2017,17,17,1,257,77,16.06,423,60.75,0,2,2,18,6,
Shafiul Hayet (BD19),2015-2016,10,10,1,256,83,28.44,342,74.85,0,2,1,25,2,
J Morgan (Aus19),2014-2015,12,11,0,255,55,23.18,339,75.22,0,1,0,26,5,
AHT Donald (ENG19),2014-2016,13,13,1,239,48,19.91,281,85.05,0,0,2,24,2,
JM Clarke (ENG19),2014-2014,10,10,1,238,45,26.44,281,84.69,0,0,1,25,2,
RK Bhui (Ind19),2014-2016,15,15,2,229,42,17.61,347,65.99,0,0,1,21,4,
RC Davies (ENG19),2015-2016,17,15,1,229,81,16.35,387,59.17,0,1,0,15,3,
Abhishek Sharma (Ind19),2016-2017,12,12,2,225,45,22.50,316,71.20,0,0,0,17,5,
EWJ Stewart (WI19),2016-2017,10,10,1,212,76,23.55,327,64.83,0,1,2,18,1,
MK Lomror (Ind19),2015-2016,11,10,3,209,45,29.85,240,87.08,0,0,0,13,6,
T Banton (ENG19),2017-2017,10,10,0,204,74,20.40,263,77.56,0,2,0,22,3,
MDE Holden (ENG19),2015-2017,16,15,0,203,51,13.53,353,57.50,0,1,2,20,0,
WG Jacks (ENG19),2017-2017,11,11,1,202,71,20.20,219,92.23,0,1,3,20,7,
JA Tattersall (ENG19),2014-2014,10,10,0,200,95,20.00,290,68.96,0,1,2,18,2,
Ikram Faizi (AFG19),2016-2017,13,11,4,194,107,27.71,293,66.21,1,0,1,14,2,
EG Barnard (ENG19),2014-2014,11,11,1,187,93,18.70,280,66.78,0,1,3,19,0,
Ishan Kishan (Ind19),2015-2016,12,12,0,186,52,15.50,231,80.51,0,1,1,19,8,
S Snyder (Zim19),2015-2016,10,10,0,184,56,18.40,290,63.44,0,2,2,21,5,
JL Finnie (NZ19),2014-2016,11,11,1,178,40,17.80,268,66.41,0,0,1,13,6,
T de Zorzi (SA19),2015-2016,16,15,1,165,41,11.78,356,46.34,0,0,1,12,0,
