ICC_Rank,Rating,Name
1,876,V Kohli,
2,872,AB de Villiers,
3,823,DA Warner,
4,816,RG Sharma,
5,813, Babar Azam,
6,808,Q de Kock,
6,808,JE Root,
8,777,KS Williamson,
9,773,F du Plessis,
10,766,HM Amla,
11,764,MJ Guptill,
12,736,LRPL Taylor,
13,729,MS Dhoni,
14,726,S Dhawan,
15,724,AJ Finch,
16,698, Tamim Iqbal,
17,692,SPD Smith,
18,656,JC Buttler,
19,652, Mushfiqur Rahim,
20,645,JJ Roy,
21,641,KJ Coetzer,
22,631,TM Head,
23,630,BA Stokes,
24,629,AD Hales,
25,626,EJG Morgan,
26,621, Mohammad Hafeez,
27,619,AD Mathews,
28,616,MP Stoinis,
29,612,AM Rahane,
30,608, Shakib Al Hasan,
31,603,DA Miller,
32,597,GJ Maxwell,
33,590,GJ Bailey,
33,590,TWM Latham,
35,583,PR Stirling,
36,576,MR Marsh,
37,575, Fakhar Zaman,
38,574,EC Joyce,
39,573,WU Tharanga,
40,566,N Dickwella,
40,566,JM Bairstow,
42,561, Mahmudullah,
43,559, Sikandar Raza,
44,557,BKG Mendis,
44,557,KM Jadhav,
46,548, Sarfraz Ahmed,
47,545,J-P Duminy,
48,544, Azhar Ali,
49,535, Shoaib Malik,
50,533,MN Samuels,
50,533, Mohammad Shahzad,
52,526, Soumya Sarkar,
53,525,KJ O'Brien,
54,524,C Munro,
54,524,WTS Porterfield,
56,520,C de Grandhomme,
57,518,HDRL Thirimanne,
58,517, Mohammad Nabi,
59,512,H Masakadza,
60,511,JP Faulkner,
61,509,F Behardien,
62,504,Moeen Ali,
63,500,LD Chandimal,
63,500,CS MacLeod,
65,499,MS Wade,
66,498,NT Broom,
67,497,E Lewis,
68,491, Sharjeel Khan,
68,491, Sabbir Rahman,
70,490,SD Hope,
71,489,JO Holder,
72,486,CH Gayle,
72,486,SC Williams,
74,485,DM Bravo,
75,481,HH Pandya,
76,479,CR Woakes,
77,474, Ahmed Shehzad,
78,472,NJ O'Brien,
78,472,MDKJ Perera,
80,468,JDS Neesham,
81,466, Rahmat Shah,
82,465,HM Nicholls,
82,465,MD Gunathilaka,
84,462,E Chigumbura,
85,461,Imrul Kayes,
86,460,J Charles,
87,459, Nasir Hossain,
88,458,A Balbirnie,
88,458,CR Ervine,
88,458, Haris Sohail,
91,456, Umar Akmal,
92,451,KA Pollard,
93,450, Shaiman Anwar,
94,447, Anamul Haque,
95,446,L Ronchi,
96,439, Samiullah Shenwari,
97,436,CJ Anderson,
98,434,Rameez Shahzad,
99,433, Anshuman Rath,
100,431, Javed Ahmadi,
